Name,Kendall Square T,Wadsworth at Amherst,Media Lab,Media Lab at Ames,Amherst at Kresge,Burton/MacGregor,Tang/Westgate,W98 at Vassar St,W92 at Amesbury St,Simmons Hall,New Vassar Dorm,Vassar St at Mass Ave,Main at Vassar,Baker House,Burton Conner,East Campus,MacGregor House,Maseeh Hall,McCormick Hall,New House,Next House,New Vassar,Random Hall,70 Amherst Street,Ashdown House,Edgerton House,Graduate Tower,Sidney-Pacific,Tang Hall,The Warehouse,Westgate Apartments,Depot,MIT Chapel,Hyatt Regency Cambridge,MIT Furniture Exchange,Veterans Memorial Pool,Great Dome,MIT Sloan School of Management,MIT Medical Urgent Care Service,Walker Memorial,MIT Department of Mathematics,MIT Sailing Pavilion,The Muddy Charles Pub,Tudor Dog Park,MIT Plasma Science and Fusion Center
MIT Chapel,5.1833,4.4833,5.2167,5.4333,1.1,4.3667,5.5167,4.4667,4.6,4.2333,3.8667,3.2833,4.4667,3.0667,3.1,5.8333,4.3667,1.2333,1.3667,4.3667,5.35,7.0667,4.4,5.2167,5.1333,4.3,5.55,5.6833,4.15,5.3,5.0,5.8833,0.0,4.4833,5.3,6.15,4.25,5.1167,6.85,5.8333,3.65,3.5333,5.4333,6.7667,4.5167
Hyatt Regency Cambridge,5.3833,4.9833,5.7,5.9333,4.5667,4.3333,2.25,1.4833,1.2167,1.75,2.35,3.5333,4.6667,6.3167,5.95,6.3333,4.3333,4.3667,4.85,3.9167,2.25,6.8167,4.8333,5.7,4.7833,4.75,5.75,5.4,1.5667,5.05,1.7333,6.3333,5.1667,0.0,2.8333,3.6833,5.4333,5.6,7.35,6.3333,4.0667,3.95,5.9333,4.8333,4.95
MIT Furniture Exchange,6.9167,6.2667,7.0,7.2333,6.35,5.6333,5.4667,3.9333,4.0667,4.9833,5.65,5.5667,6.1333,7.6,7.2333,7.6167,5.6333,6.1333,6.6167,5.6333,5.4667,4.9167,4.65,7.0,2.9,3.6167,7.3,2.6,4.45,3.15,4.95,3.7667,6.9333,4.45,0.0,3.6667,7.2,6.9,8.65,7.6167,5.3667,5.25,7.2333,2.0167,3.9167
Veterans Memorial Pool,6.4667,4.75,5.4833,5.7167,5.6167,4.1167,3.9333,2.4,2.55,3.45,4.1333,5.3,6.45,6.0833,5.7167,6.1,4.1167,5.4167,5.5667,4.1167,3.9333,5.8167,6.4167,5.4833,3.7833,4.5167,7.0833,4.4,2.9333,4.05,3.4167,5.4833,6.2167,2.9333,1.8333,0.0,7.3833,5.3833,7.1167,6.1,3.85,3.7333,5.7167,3.8333,4.8167
Great Dome,2.8833,3.95,2.3,2.3667,2.8667,4.8,4.8667,4.5667,4.3,3.2,2.8167,1.7167,2.1833,4.8833,4.5833,2.6333,4.8,2.65,3.1333,4.8,4.8667,5.9667,3.3167,2.3,4.05,3.2167,3.2667,4.5833,4.8,4.2,4.35,4.8,3.45,5.0667,6.4833,7.35,0.0,4.3667,4.3333,2.6333,2.8167,4.4333,2.3667,5.6667,3.4333
MIT Sloan School of Management,3.9833,1.7833,3.0,3.2167,4.4,4.7,6.5833,5.5333,5.6667,6.15,5.7667,5.2,6.3667,4.85,4.4833,3.6167,4.7,4.1833,4.3333,4.7,5.6667,8.9,6.2667,3.0,6.9833,6.15,4.1333,7.5167,5.2167,7.1333,6.0667,7.75,4.9833,5.55,6.3833,7.2167,6.1667,0.0,4.1667,3.6167,2.6167,5.9,3.2167,8.6,6.3667
MIT Medical Urgent Care Service,2.0333,2.4833,1.5167,2.5167,4.7333,5.0333,6.9167,5.8667,6.0,6.4833,6.1,5.0333,6.15,5.1833,4.8167,2.4667,5.0333,4.5167,4.6667,5.0333,6.0,8.9,6.6333,1.5167,6.9833,6.15,2.4167,7.5167,5.55,7.1333,6.4,7.9667,5.3167,5.8833,6.7333,7.5833,4.5333,3.4667,0.0,2.4667,2.9667,6.2333,2.5167,8.7167,6.3667
Walker Memorial,1.85,1.85,0.6,0.7667,2.9833,3.2833,5.1667,4.1167,4.25,4.7333,4.3667,3.7833,4.9,3.4333,3.0667,0.2333,3.2833,2.7833,2.9167,3.2833,4.25,7.55,4.9,0.6,5.6333,4.8,2.2167,6.1667,3.8167,5.7833,4.65,6.3833,3.5667,4.1333,4.9833,5.8333,4.75,3.3333,2.15,0.0,1.2333,4.4833,0.7667,7.25,5.0167
MIT Department of Mathematics,4.2667,4.1,4.8333,5.0167,1.5833,1.8833,3.7667,2.7167,2.85,3.3333,2.95,2.3667,3.55,2.0333,1.6667,5.2667,1.8833,1.3833,1.5167,1.8833,2.85,6.15,3.4833,4.8333,4.2333,3.4,4.6333,4.7667,2.4,4.3833,3.25,4.9667,2.1667,2.7333,3.5833,4.4333,3.3333,4.7333,6.4667,5.2667,0.0,3.0833,5.0167,5.85,3.6
MIT Sailing Pavilion,4.6,4.4333,5.1667,5.3333,1.9,2.2,4.1,3.05,3.1833,3.65,3.2833,2.7,3.8833,2.3667,2.0,5.6,2.2,1.7,1.85,2.2,3.1833,6.4833,3.8167,5.1667,4.55,3.7167,4.9667,5.1,2.7333,4.7167,3.5833,5.3,2.5,3.0667,3.9,4.7667,3.6667,5.0667,6.8,5.6,0.1333,0.0,5.3333,6.1833,3.9333
The Muddy Charles Pub,1.8667,1.9333,0.9167,0.5167,2.8667,3.1667,5.05,4.0,4.15,4.6167,4.25,3.6667,4.85,3.3167,2.95,1.55,3.1667,2.6667,2.8,3.1667,4.15,7.4333,4.7833,0.9167,5.5167,4.6833,2.25,6.05,3.7,5.6833,4.5333,6.2667,3.4667,4.0333,4.8667,5.7167,4.6333,3.35,2.4667,1.55,1.1,4.3667,0.0,7.1333,4.9
Tudor Dog Park,5.9667,7.0333,6.6333,6.7,5.4,7.2167,6.75,6.3333,6.2,5.0833,4.7,4.6333,5.1833,7.4167,7.0,6.95,7.2167,5.2,5.6667,7.2167,6.75,4.2,2.9167,6.6333,2.05,2.6667,6.35,1.2333,6.6833,2.4333,6.2333,2.0333,5.9833,6.8667,3.85,6.0667,6.25,7.45,7.4167,6.95,7.0,6.8833,6.7,0.0,2.9667
MIT Plasma Science and Fusion Center,3.9167,4.9833,4.5833,4.65,3.35,5.1667,4.7,4.4,4.15,3.0333,2.65,2.5833,3.1333,5.3667,4.95,4.9,5.1667,3.15,3.6167,5.1667,4.7,2.95,2.45,4.5833,1.0333,0.7167,4.3,1.55,4.6333,1.1833,4.1833,3.95,3.9333,4.9,4.7,6.9167,4.2,5.4,5.3667,4.9,4.95,4.8333,4.65,2.6333,0.0
